company_name,company_price_intraday,company_symbol,company_symbol_link
"Palo Alto Networks, Inc.",230.53,PANW,https://finance.yahoo.com/sector/ms_technology/quote/PANW?p=PANW
"Skyworks Solutions, Inc.",128.42,SWKS,https://finance.yahoo.com/sector/ms_technology/quote/SWKS?p=SWKS
"FLEETCOR Technologies, Inc.",254.84,FLT,https://finance.yahoo.com/sector/ms_technology/quote/FLT?p=FLT
Canon Inc.,19.71,CAJ,https://finance.yahoo.com/sector/ms_technology/quote/CAJ?p=CAJ
Corning Incorporated,26.00,GLW,https://finance.yahoo.com/sector/ms_technology/quote/GLW?p=GLW
Coupa Software Incorporated,290.79,COUP,https://finance.yahoo.com/sector/ms_technology/quote/COUP?p=COUP
Garmin Ltd.,97.53,GRMN,https://finance.yahoo.com/sector/ms_technology/quote/GRMN?p=GRMN
"Citrix Systems, Inc.",150.06,CTXS,https://finance.yahoo.com/sector/ms_technology/quote/CTXS?p=CTXS
"Akamai Technologies, Inc.",113.12,AKAM,https://finance.yahoo.com/sector/ms_technology/quote/AKAM?p=AKAM
ZoomInfo Technologies Inc.,45.05,ZI,https://finance.yahoo.com/sector/ms_technology/quote/ZI?p=ZI
"Slack Technologies, Inc.",30.31,WORK,https://finance.yahoo.com/sector/ms_technology/quote/WORK?p=WORK
"Maxim Integrated Products, Inc.",60.40,MXIM,https://finance.yahoo.com/sector/ms_technology/quote/MXIM?p=MXIM
"Arista Networks, Inc.",210.51,ANET,https://finance.yahoo.com/sector/ms_technology/quote/ANET?p=ANET
"Broadridge Financial Solutions, Inc.",128.22,BR,https://finance.yahoo.com/sector/ms_technology/quote/BR?p=BR
"SS&C Technologies Holdings, Inc.",56.61,SSNC,https://finance.yahoo.com/sector/ms_technology/quote/SSNC?p=SSNC
"Zscaler, Inc.",110.21,ZS,https://finance.yahoo.com/sector/ms_technology/quote/ZS?p=ZS
Wix.com Ltd.,272.85,WIX,https://finance.yahoo.com/sector/ms_technology/quote/WIX?p=WIX
"Tyler Technologies, Inc.",355.22,TYL,https://finance.yahoo.com/sector/ms_technology/quote/TYL?p=TYL
"Teradyne, Inc.",84.58,TER,https://finance.yahoo.com/sector/ms_technology/quote/TER?p=TER
"EPAM Systems, Inc.",250.16,EPAM,https://finance.yahoo.com/sector/ms_technology/quote/EPAM?p=EPAM
Zebra Technologies Corporation,255.04,ZBRA,https://finance.yahoo.com/sector/ms_technology/quote/ZBRA?p=ZBRA
"Leidos Holdings, Inc.",93.64,LDOS,https://finance.yahoo.com/sector/ms_technology/quote/LDOS?p=LDOS
Western Digital Corporation,42.44,WDC,https://finance.yahoo.com/sector/ms_technology/quote/WDC?p=WDC
"Qorvo, Inc.",110.30,QRVO,https://finance.yahoo.com/sector/ms_technology/quote/QRVO?p=QRVO
PagSeguro Digital Ltd.,37.46,PAGS,https://finance.yahoo.com/sector/ms_technology/quote/PAGS?p=PAGS
Ceridian HCM Holding Inc.,84.67,CDAY,https://finance.yahoo.com/sector/ms_technology/quote/CDAY?p=CDAY
Seagate Technology plc,47.34,STX,https://finance.yahoo.com/sector/ms_technology/quote/STX?p=STX
Fair Isaac Corporation,418.77,FICO,https://finance.yahoo.com/sector/ms_technology/quote/FICO?p=FICO
Hewlett Packard Enterprise Company,9.41,HPE,https://finance.yahoo.com/sector/ms_technology/quote/HPE?p=HPE
"Dynatrace, Inc.",42.35,DT,https://finance.yahoo.com/sector/ms_technology/quote/DT?p=DT
GoDaddy Inc.,71.30,GDDY,https://finance.yahoo.com/sector/ms_technology/quote/GDDY?p=GDDY
NortonLifeLock Inc.,20.01,NLOK,https://finance.yahoo.com/sector/ms_technology/quote/NLOK?p=NLOK
NICE Ltd.,188.46,NICE,https://finance.yahoo.com/sector/ms_technology/quote/NICE?p=NICE
Open Text Corporation,42.97,OTEX,https://finance.yahoo.com/sector/ms_technology/quote/OTEX?p=OTEX
