company_name,company_price_intraday,company_symbol_link
Coupa Software Incorporated,290.79,https://finance.yahoo.com/sector/ms_technology//quote/COUP?p=COUP
Garmin Ltd.,97.53,https://finance.yahoo.com/sector/ms_technology//quote/GRMN?p=GRMN
"Citrix Systems, Inc.",150.06,https://finance.yahoo.com/sector/ms_technology//quote/CTXS?p=CTXS
"Akamai Technologies, Inc.",113.12,https://finance.yahoo.com/sector/ms_technology//quote/AKAM?p=AKAM
ZoomInfo Technologies Inc.,45.05,https://finance.yahoo.com/sector/ms_technology//quote/ZI?p=ZI
"Slack Technologies, Inc.",30.31,https://finance.yahoo.com/sector/ms_technology//quote/WORK?p=WORK
"Maxim Integrated Products, Inc.",60.40,https://finance.yahoo.com/sector/ms_technology//quote/MXIM?p=MXIM
"Arista Networks, Inc.",210.51,https://finance.yahoo.com/sector/ms_technology//quote/ANET?p=ANET
"Broadridge Financial Solutions, Inc.",128.22,https://finance.yahoo.com/sector/ms_technology//quote/BR?p=BR
"SS&C Technologies Holdings, Inc.",56.61,https://finance.yahoo.com/sector/ms_technology//quote/SSNC?p=SSNC
"Zscaler, Inc.",110.21,https://finance.yahoo.com/sector/ms_technology//quote/ZS?p=ZS
Wix.com Ltd.,272.85,https://finance.yahoo.com/sector/ms_technology//quote/WIX?p=WIX
"Tyler Technologies, Inc.",355.22,https://finance.yahoo.com/sector/ms_technology//quote/TYL?p=TYL
"Teradyne, Inc.",84.58,https://finance.yahoo.com/sector/ms_technology//quote/TER?p=TER
"EPAM Systems, Inc.",250.16,https://finance.yahoo.com/sector/ms_technology//quote/EPAM?p=EPAM
Zebra Technologies Corporation,255.04,https://finance.yahoo.com/sector/ms_technology//quote/ZBRA?p=ZBRA
"Leidos Holdings, Inc.",93.64,https://finance.yahoo.com/sector/ms_technology//quote/LDOS?p=LDOS
Western Digital Corporation,42.44,https://finance.yahoo.com/sector/ms_technology//quote/WDC?p=WDC
"Qorvo, Inc.",110.30,https://finance.yahoo.com/sector/ms_technology//quote/QRVO?p=QRVO
PagSeguro Digital Ltd.,37.46,https://finance.yahoo.com/sector/ms_technology//quote/PAGS?p=PAGS
Ceridian HCM Holding Inc.,84.67,https://finance.yahoo.com/sector/ms_technology//quote/CDAY?p=CDAY
Seagate Technology plc,47.34,https://finance.yahoo.com/sector/ms_technology//quote/STX?p=STX
Fair Isaac Corporation,418.77,https://finance.yahoo.com/sector/ms_technology//quote/FICO?p=FICO
Hewlett Packard Enterprise Company,9.41,https://finance.yahoo.com/sector/ms_technology//quote/HPE?p=HPE
"Dynatrace, Inc.",42.35,https://finance.yahoo.com/sector/ms_technology//quote/DT?p=DT
GoDaddy Inc.,71.30,https://finance.yahoo.com/sector/ms_technology//quote/GDDY?p=GDDY
NortonLifeLock Inc.,20.01,https://finance.yahoo.com/sector/ms_technology//quote/NLOK?p=NLOK
NICE Ltd.,188.46,https://finance.yahoo.com/sector/ms_technology//quote/NICE?p=NICE
Open Text Corporation,42.97,https://finance.yahoo.com/sector/ms_technology//quote/OTEX?p=OTEX
